,param_max_depth,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,15,0.6267942583732058,1,1.0,0.006467661691542288,4,0.28980099502487566,0.012802551972772747,4,0.44936344426599917
1,60,0.384151593453919,4,0.9997093023255814,0.013930348258706465,1,0.8679104477611941,0.026843304337534766,1,0.9291118771011533
2,70,0.4041666666666667,3,1.0,0.008706467661691543,2,0.8455223880597015,0.016985165234491898,2,0.9161731048352222
3,80,0.4592391304347826,2,1.0,0.00845771144278607,3,0.8412935323383084,0.016584311834991906,3,0.9137308672910625
