,param_max_leaf_nodes,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,125,1.0,1,1.0,0.0007462686567164178,4,0.0263681592039801,0.001491300827555799,4,0.05137736256919708
1,140,0.75,4,1.0,0.0007462686567164178,4,0.03507462686567164,0.0014910536779324053,5,0.0677667017522135
2,160,0.625,5,1.0,0.0012437810945273632,3,0.05024875621890547,0.0024826216484607746,3,0.09568240952986835
3,180,0.8333333333333333,2,1.0,0.001990049751243781,2,0.0699004975124378,0.003970224302895603,2,0.13061382829518664
4,210,0.7777777777777778,3,1.0,0.0024875621890547263,1,0.10248756218905472,0.004957863079897303,1,0.18591466692732517
