,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.0005,0.6,perceptron,0.36303001244759653,8,0.3741755992075946,0.2643363602438114,8,0.26875233237964924,0.30522033823519207,7,0.31210403487673377
1,0.0005,0.8,perceptron,0.36185577651576856,9,0.3712293080798582,0.26483393456897625,7,0.2713645975867645,0.30155094453794573,8,0.3086462224715143
2,0.0005,0.9,perceptron,0.564532109210972,5,0.5742723523426798,0.3856822987933823,1,0.39320811046150017,0.4582676845404077,1,0.4667632300060901
3,0.001,0.6,perceptron,0.3945988468845157,7,0.39892895662681593,0.20898121656922503,9,0.20630675457146413,0.2715586301787404,9,0.2703124685363408
4,0.001,0.8,perceptron,0.5767731839576979,4,0.5888732884524654,0.3782808807065555,2,0.38605547953725583,0.4568975886666991,3,0.4663546609405275
5,0.001,0.9,perceptron,0.5814068961178472,3,0.5942270158066629,0.3777211095907451,3,0.38537131484015424,0.4579216489447025,2,0.4675334611440363
6,0.002,0.6,perceptron,0.47716636776559346,6,0.4858769462111563,0.30874486876477175,6,0.3156487125264337,0.37490012920887705,6,0.3826339461297403
7,0.002,0.8,perceptron,0.5921273118815652,2,0.6030551086498691,0.3562632168180122,4,0.36111456648836915,0.4448395460993593,4,0.45171627013138815
8,0.002,0.9,perceptron,0.5930988033320059,1,0.6063221215709282,0.34923497947505905,5,0.3566363975618858,0.4396034233681726,5,0.44910821029417614
