,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.0005,0.6,squared_hinge,0.2909656055787657,9,0.29925524568112033,0.3175146162458017,9,0.33181987809429037,0.30282875650337,9,0.3136716498163309
1,0.0005,0.8,squared_hinge,0.5217646741361796,7,0.5319373337261741,0.39208856822987936,5,0.4005473317576813,0.4475238344808966,7,0.4567396163837359
2,0.0005,0.9,squared_hinge,0.5633978780064498,6,0.5713529197103258,0.40098270929220053,1,0.4066426172409504,0.46846902295026566,1,0.4751277545751723
3,0.001,0.6,squared_hinge,0.44935186578964714,8,0.4573834527808731,0.39861923124766757,2,0.41168055728324415,0.41877154906294006,8,0.42884922682117516
4,0.001,0.8,squared_hinge,0.5719035415226844,4,0.5789839885624339,0.39383007836795625,3,0.4009827092922005,0.46644490819538875,2,0.4738035122068157
5,0.001,0.9,squared_hinge,0.5715275483547572,5,0.5804185859811244,0.39351909441472815,4,0.39955218310735163,0.46609382907144226,3,0.4732936777015888
6,0.002,0.6,squared_hinge,0.5752834869644188,3,0.5808126336612003,0.3917153874860057,6,0.39743749222540115,0.4660527175840427,4,0.4719370627643465
7,0.002,0.8,squared_hinge,0.5820469209817569,1,0.5888362964018916,0.3841273790272422,8,0.389165319069536,0.4627987340862332,6,0.4686180736766975
8,0.002,0.9,squared_hinge,0.576572777179211,2,0.5845663568206446,0.38779698967533277,7,0.3929593232989178,0.4636910408843938,5,0.4699841708109258
