,param_alpha,param_l1_ratio,param_loss,param_max_iter,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.001,0.8,hinge,100,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0
1,0.001,0.8,hinge,200,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0
