,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.0005,0.6,hinge,0.6136857230607231,4,0.6271427311811453,0.18435128747356636,7,0.19305883816395075,0.2835102062974938,7,0.2951575930459829
1,0.0005,0.8,hinge,0.6188670364434895,3,0.6331559046899491,0.18652817514616246,6,0.19069536011941784,0.28665311251970443,6,0.2931084803695586
2,0.0005,0.9,hinge,0.5717642701298761,9,0.5867350243631364,0.37660156735912426,1,0.38729941535016793,0.4540952887156545,3,0.4665997639424932
3,0.001,0.6,hinge,0.7069711961968467,2,0.7303951474736784,0.12700584649832067,9,0.13484264211966662,0.21509113666710158,9,0.2272639262469472
4,0.001,0.8,hinge,0.5851397426758322,8,0.5995909247570883,0.37274536633909694,3,0.38045776837915163,0.4553878919739369,2,0.46552569223349827
5,0.001,0.9,hinge,0.5861518836356493,7,0.6019574334485864,0.3757308122900858,2,0.38282124642368454,0.45790275173646616,1,0.4680060997609573
6,0.002,0.6,hinge,0.7389648246433056,1,0.7565898192655816,0.1663142181863416,8,0.1694862545092673,0.24894766969243157,8,0.2546974360513273
7,0.002,0.8,hinge,0.5989497676523684,6,0.6149274017317521,0.3505411120786167,4,0.3577559397935066,0.44224001059263174,4,0.45234185479284855
8,0.002,0.9,hinge,0.6000057717575715,5,0.6152275224017728,0.3480532404527926,5,0.35501928100510016,0.44052972125952694,5,0.45022872970524697
