,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.0005,0.6,log,0.6144676693943748,4,0.630665586155251,0.2672596094041548,6,0.27708670232615995,0.3724001689264221,6,0.38498500887945775
1,0.0005,0.8,log,0.6151392213840366,3,0.6306620593347397,0.2633412115934818,7,0.272546336609031,0.36871215054055534,7,0.3805680784070842
2,0.0005,0.9,log,0.5716866465197326,9,0.5860844548979957,0.36528175146162456,3,0.37168802089812164,0.44549041768235165,3,0.4546906638348327
3,0.001,0.6,log,0.6563638743718466,2,0.6709458450038979,0.2524567732305013,8,0.259858191317328,0.3646027725487905,8,0.3746130811320595
4,0.001,0.8,log,0.5832545493025755,7,0.5953819589714605,0.3730563502923249,2,0.380084587635278,0.45503829768305704,2,0.46397389045260873
5,0.001,0.9,log,0.5819252660005793,8,0.5933764785057758,0.37653937056847864,1,0.3843761661898246,0.4572101121272626,1,0.46653754941828735
6,0.002,0.6,log,0.7038555938662553,1,0.7157187264857183,0.22527677571837293,9,0.2317452419455156,0.34121510293837437,9,0.34996771722556796
7,0.002,0.8,log,0.5973544973544973,5,0.6065409897253208,0.35408632914541616,4,0.35924866276900114,0.4446130240035015,4,0.4512330306096256
8,0.002,0.9,log,0.5962652486952147,6,0.60610822489934,0.350976489613136,5,0.3566985943525314,0.4418601999027076,5,0.4490989574418285
