,param_max_depth,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,3,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
1,10,1.0,1,1.0,0.001741293532338308,3,0.06343283582089553,0.003475425363452042,3,0.11928085405912717
2,30,0.4192673564753004,3,0.9996871088861077,0.022885572139303482,1,0.7985074626865671,0.04340095906883685,1,0.8878386454366137
3,,0.4592391304347826,2,1.0,0.00845771144278607,2,0.8412935323383084,0.016584311834991906,2,0.9137308672910625
