,param_n_estimators,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,3,0.2367017263568988,4,0.9434368811773224,0.08855721393034825,1,0.7786069651741294,0.1288615398340034,1,0.8530497296082931
1,10,0.4592391304347826,3,1.0,0.00845771144278607,2,0.8412935323383084,0.016584311834991906,2,0.9137308672910625
2,30,0.75,1,1.0,0.0009950248756218905,3,0.9808457711442786,0.0019873308583669373,3,0.9903302616105557
3,100,0.5,2,1.0,0.0002487562189054726,4,1.0,0.0004972650422675286,4,1.0
