,param_max_depth,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,20,0.5086567164179105,2,0.9995300751879699,0.01492537313432836,5,0.5378109452736318,0.02898317681869388,5,0.6992933814624698
1,25,0.5327777777777777,1,0.9996458923512748,0.02388059701492537,3,0.6863184079601989,0.04569141955707263,3,0.8137613918835799
2,35,0.42331691297208546,4,0.999118950380619,0.0263681592039801,2,0.8435323383084576,0.049574084130040094,2,0.9147342805329235
3,40,0.4084722969338354,5,0.9997128087306146,0.02860696517412936,1,0.8681592039800995,0.053325698996423844,1,0.9293018315683194
4,50,0.4241379310344828,3,0.9994375839987351,0.022388059701492533,4,0.8843283582089552,0.04251133461296962,4,0.9383060245597803
